2022-10-10T01:45:48.634552+0000 DEBUG 2013   starting
2022-10-10T01:45:48.638035+0000 DEBUG 2014   starting
2022-10-10T01:45:48.641862+0000 DEBUG 2015   starting
2022-10-10T01:45:48.645545+0000 DEBUG 2016   starting
2022-10-10T02:57:59.684460+0000 DEBUG 2017            ///////           260000
2022-10-10T02:58:03.904567+0000 DEBUG 2014            ///////           440000
2022-10-10T02:58:15.483177+0000 DEBUG 2019            ///////           220000
2022-10-10T02:58:50.639466+0000 DEBUG 2016            ///////           240000
2022-10-10T02:58:58.655017+0000 DEBUG 2015            ///////           370000
2022-10-10T02:59:10.769493+0000 DEBUG 2013            ///////           480000
2022-10-10T02:59:47.707660+0000 DEBUG 2014            ///////           450000
2022-10-10T03:00:40.591353+0000 DEBUG 2013            ///////           490000
2022-10-10T03:00:45.683521+0000 DEBUG 2017            ///////           270000
2022-10-10T03:00:56.156691+0000 DEBUG 2020            ///////           200000
2022-10-10T03:00:58.892151+0000 DEBUG 2015            ///////           380000
2022-10-10T03:01:14.961680+0000 DEBUG 2018            ///////           210000
2022-10-10T03:01:24.446194+0000 DEBUG 2014            ///////           460000
2022-10-10T03:01:32.472513+0000 DEBUG 2019            ///////           230000
2022-10-10T03:01:42.893792+0000 DEBUG 2016            ///////           250000
2022-10-10T03:02:13.861209+0000 DEBUG 2013            ///////           500000
2022-10-10T03:02:50.897228+0000 DEBUG 2015            ///////           390000
2022-10-10T03:03:05.716461+0000 DEBUG 2014            ///////           470000
2022-10-10T03:03:17.715870+0000 DEBUG 2017            ///////           280000
2022-10-10T03:03:45.733220+0000 DEBUG 2013            ///////           510000
2022-10-10T03:04:33.187673+0000 DEBUG 2020            ///////           210000
2022-10-10T03:04:41.581967+0000 DEBUG 2014            ///////           480000
2022-10-10T03:04:42.988445+0000 DEBUG 2018            ///////           220000
2022-10-10T03:04:48.932714+0000 DEBUG 2015            ///////           400000
2022-10-10T03:04:49.594063+0000 DEBUG 2016            ///////           260000
2022-10-10T03:04:59.596005+0000 DEBUG 2019            ///////           240000
2022-10-10T03:05:23.314265+0000 DEBUG 2013            ///////           520000
2022-10-10T03:06:01.014142+0000 DEBUG 2017            ///////           290000
2022-10-10T03:06:21.660329+0000 DEBUG 2014            ///////           490000
2022-10-10T03:06:49.134744+0000 DEBUG 2015            ///////           410000
2022-10-10T03:06:53.849963+0000 DEBUG 2013            ///////           530000
2022-10-10T03:07:56.623727+0000 DEBUG 2016            ///////           270000
2022-10-10T03:07:56.727449+0000 DEBUG 2014            ///////           500000
2022-10-10T03:08:07.320457+0000 DEBUG 2020            ///////           220000
2022-10-10T03:08:10.502099+0000 DEBUG 2018            ///////           230000
2022-10-10T03:08:11.536230+0000 DEBUG 2019            ///////           250000
2022-10-10T03:08:24.238189+0000 DEBUG 2013            ///////           540000
2022-10-10T03:08:34.163028+0000 DEBUG 2017            ///////           300000
2022-10-10T03:09:01.551861+0000 DEBUG 2015            ///////           420000
2022-10-10T03:09:46.050400+0000 DEBUG 2014            ///////           510000
2022-10-10T03:09:56.256561+0000 DEBUG 2013            ///////           550000
2022-10-10T03:10:53.567127+0000 DEBUG 2015            ///////           430000
2022-10-10T03:10:55.426459+0000 DEBUG 2016            ///////           280000
2022-10-10T03:11:11.613813+0000 DEBUG 2017            ///////           310000
2022-10-10T03:11:24.180865+0000 DEBUG 2013            ///////           560000
2022-10-10T03:11:27.558330+0000 DEBUG 2014            ///////           520000
2022-10-10T03:11:31.653051+0000 DEBUG 2019            ///////           260000
2022-10-10T03:11:33.905156+0000 DEBUG 2020            ///////           230000
2022-10-10T03:11:34.537415+0000 DEBUG 2018            ///////           240000
2022-10-10T03:12:42.642671+0000 DEBUG 2015            ///////           440000
2022-10-10T03:12:53.711802+0000 DEBUG 2013            ///////           570000
2022-10-10T03:13:00.650905+0000 DEBUG 2014            ///////           530000
2022-10-10T03:13:49.336695+0000 DEBUG 2017            ///////           320000
2022-10-10T03:14:08.087280+0000 DEBUG 2016            ///////           290000
2022-10-10T03:14:25.833291+0000 DEBUG 2013            ///////           580000
2022-10-10T03:14:30.286933+0000 DEBUG 2014            ///////           540000
2022-10-10T03:14:51.808399+0000 DEBUG 2015            ///////           450000
2022-10-10T03:14:56.873390+0000 DEBUG 2018            ///////           250000
2022-10-10T03:15:11.367373+0000 DEBUG 2019            ///////           270000
2022-10-10T03:15:29.259114+0000 DEBUG 2020            ///////           240000
2022-10-10T03:15:54.595424+0000 DEBUG 2013            ///////           590000
2022-10-10T03:16:02.615994+0000 DEBUG 2014            ///////           550000
2022-10-10T03:16:27.571505+0000 DEBUG 2017            ///////           330000
2022-10-10T03:16:44.911828+0000 DEBUG 2015            ///////           460000
2022-10-10T03:17:14.089436+0000 DEBUG 2016            ///////           300000
2022-10-10T03:17:21.544647+0000 DEBUG 2013            ///////           600000
2022-10-10T03:17:41.923419+0000 DEBUG 2014            ///////           560000
2022-10-10T03:18:27.612477+0000 DEBUG 2019            ///////           280000
2022-10-10T03:18:44.108684+0000 DEBUG 2018            ///////           260000
2022-10-10T03:18:45.928953+0000 DEBUG 2020            ///////           250000
2022-10-10T03:18:50.237759+0000 DEBUG 2013            ///////           610000
2022-10-10T03:18:57.503795+0000 DEBUG 2017            ///////           340000
2022-10-10T03:18:59.919656+0000 DEBUG 2015            ///////           470000
2022-10-10T03:19:13.905544+0000 DEBUG 2014            ///////           570000
2022-10-10T03:20:13.922545+0000 DEBUG 2013            ///////           620000
2022-10-10T03:20:26.967104+0000 DEBUG 2016            ///////           310000
2022-10-10T03:20:44.375553+0000 DEBUG 2014            ///////           580000
2022-10-10T03:21:11.292792+0000 DEBUG 2015            ///////           480000
2022-10-10T03:21:33.792612+0000 DEBUG 2019            ///////           290000
2022-10-10T03:21:41.755438+0000 DEBUG 2017            ///////           350000
2022-10-10T03:21:43.333982+0000 DEBUG 2013            ///////           630000
2022-10-10T03:22:15.654771+0000 DEBUG 2014            ///////           590000
2022-10-10T03:22:16.033830+0000 DEBUG 2018            ///////           270000
2022-10-10T03:22:17.058005+0000 DEBUG 2020            ///////           260000
2022-10-10T03:23:09.409450+0000 DEBUG 2016            ///////           320000
2022-10-10T03:23:19.462723+0000 DEBUG 2013            ///////           640000
2022-10-10T03:23:20.075822+0000 DEBUG 2015            ///////           490000
2022-10-10T03:23:42.371250+0000 DEBUG 2014            ///////           600000
2022-10-10T03:24:18.149785+0000 DEBUG 2017            ///////           360000
2022-10-10T03:24:50.014205+0000 DEBUG 2013            ///////           650000
2022-10-10T03:24:50.127637+0000 DEBUG 2019            ///////           300000
2022-10-10T03:25:11.649205+0000 DEBUG 2014            ///////           610000
2022-10-10T03:25:13.551332+0000 DEBUG 2015            ///////           500000
2022-10-10T03:25:38.791191+0000 DEBUG 2018            ///////           280000
2022-10-10T03:25:44.742898+0000 DEBUG 2020            ///////           270000
2022-10-10T03:26:22.267189+0000 DEBUG 2016            ///////           330000
2022-10-10T03:26:22.869527+0000 DEBUG 2013            ///////           660000
2022-10-10T03:26:47.266970+0000 DEBUG 2014            ///////           620000
2022-10-10T03:26:57.080012+0000 DEBUG 2017            ///////           370000
2022-10-10T03:27:10.724566+0000 DEBUG 2015            ///////           510000
2022-10-10T03:27:50.269873+0000 DEBUG 2013            ///////           670000
2022-10-10T03:27:54.694031+0000 DEBUG 2019            ///////           310000
2022-10-10T03:28:27.288438+0000 DEBUG 2014            ///////           630000
2022-10-10T03:29:08.229408+0000 DEBUG 2018            ///////           290000
2022-10-10T03:29:12.764119+0000 DEBUG 2015            ///////           520000
2022-10-10T03:29:20.045052+0000 DEBUG 2020            ///////           280000
2022-10-10T03:29:23.724431+0000 DEBUG 2013            ///////           680000
2022-10-10T03:29:24.372023+0000 DEBUG 2016            ///////           340000
2022-10-10T03:29:35.753745+0000 DEBUG 2017            ///////           380000
2022-10-10T03:30:00.499919+0000 DEBUG 2014            ///////           640000
2022-10-10T03:30:57.188940+0000 DEBUG 2013            ///////           690000
2022-10-10T03:31:10.102426+0000 DEBUG 2015            ///////           530000
2022-10-10T03:31:15.705926+0000 DEBUG 2019            ///////           320000
2022-10-10T03:31:34.091169+0000 DEBUG 2014            ///////           650000
2022-10-10T03:32:27.607432+0000 DEBUG 2016            ///////           350000
2022-10-10T03:32:29.682401+0000 DEBUG 2017            ///////           390000
2022-10-10T03:32:33.700742+0000 DEBUG 2013            ///////           700000
2022-10-10T03:32:57.477885+0000 DEBUG 2020            ///////           290000
2022-10-10T03:33:02.007886+0000 DEBUG 2014            ///////           660000
2022-10-10T03:33:07.761305+0000 DEBUG 2018            ///////           300000
2022-10-10T03:33:10.557848+0000 DEBUG 2015            ///////           540000
2022-10-10T03:34:06.320147+0000 DEBUG 2013            ///////           710000
2022-10-10T03:34:18.472302+0000 DEBUG 2019            ///////           330000
2022-10-10T03:34:41.359900+0000 DEBUG 2014            ///////           670000
2022-10-10T03:35:07.727188+0000 DEBUG 2015            ///////           550000
2022-10-10T03:35:16.615743+0000 DEBUG 2017            ///////           400000
2022-10-10T03:35:22.189070+0000 DEBUG 2016            ///////           360000
2022-10-10T03:35:43.658010+0000 DEBUG 2013            ///////           720000
2022-10-10T03:36:31.438158+0000 DEBUG 2014            ///////           680000
2022-10-10T03:36:49.421399+0000 DEBUG 2020            ///////           300000
2022-10-10T03:36:50.219826+0000 DEBUG 2018            ///////           310000
2022-10-10T03:37:08.467075+0000 DEBUG 2015            ///////           560000
2022-10-10T03:37:23.496814+0000 DEBUG 2013            ///////           730000
2022-10-10T03:38:00.189987+0000 DEBUG 2019            ///////           340000
2022-10-10T03:38:11.614248+0000 DEBUG 2014            ///////           690000
2022-10-10T03:38:16.000723+0000 DEBUG 2017            ///////           410000
2022-10-10T03:38:17.383826+0000 DEBUG 2016            ///////           370000
2022-10-10T03:38:55.733006+0000 DEBUG 2013            ///////           740000
2022-10-10T03:39:12.614304+0000 DEBUG 2015            ///////           570000
2022-10-10T03:39:47.706308+0000 DEBUG 2014            ///////           700000
2022-10-10T03:40:23.047041+0000 DEBUG 2018            ///////           320000
2022-10-10T03:40:27.417236+0000 DEBUG 2013            ///////           750000
